	dest_ip	dest_port	highest layer	length	timestamp
285	172.17.0.2	8080	TCP	54	1521394923.043785
286	10.0.2.2	55952	PNG	1722	1521394923.050232
287	172.17.0.2	8080	TCP	54	1521394923.050424
288	172.17.0.2	8080	TCP	54	1521394923.050429
289	10.0.2.2	55968	PNG	1756	1521394923.052156
290	172.17.0.2	8080	TCP	54	1521394923.052357
291	172.17.0.2	8080	TCP	54	1521394923.052362
292	10.0.2.2	55970	PNG	1650	1521394923.054184
293	172.17.0.2	8080	TCP	54	1521394923.054582
294	172.17.0.2	8080	TCP	54	1521394923.054638
295	10.0.2.2	55966	TCP	54	1521394923.055977
296	10.0.2.2	55959	DATA-TEXT-LINES	459	1521394923.061624
297	172.17.0.2	8080	TCP	54	1521394923.061796
298	10.0.2.2	55966	PNG	1534	1521394923.069116
299	172.17.0.2	8080	TCP	54	1521394923.069386
300	172.17.0.2	8080	TCP	54	1521394923.069398
301	172.17.0.2	8080	HTTP	859	1521394927.154014
302	10.0.2.2	55966	TCP	54	1521394927.154076
303	10.0.2.2	55966	TCP	7354	1521394927.252508
304	10.0.2.2	55966	TCP	1754	1521394927.252627
305	172.17.0.2	8080	TCP	54	1521394927.252691
306	172.17.0.2	8080	TCP	54	1521394927.252696
307	172.17.0.2	8080	TCP	54	1521394927.25277
308	172.17.0.2	8080	TCP	54	1521394927.252772
309	172.17.0.2	8080	TCP	54	1521394927.252774
310	172.17.0.2	8080	TCP	54	1521394927.252775
311	172.17.0.2	8080	TCP	54	1521394927.252777
312	10.0.2.2	55966	TCP	874	1521394927.252898
313	172.17.0.2	8080	TCP	54	1521394927.252985
314	10.0.2.2	55966	DATA-TEXT-LINES	459	1521394927.265234
315	172.17.0.2	8080	TCP	54	1521394927.26744
316	172.17.0.2	8080	HTTP	979	1521394928.43434
317	10.0.2.2	55966	TCP	54	1521394928.434384
318	10.0.2.2	55966	TCP	7354	1521394928.503331
319	10.0.2.2	55966	TCP	1754	1521394928.50344
320	10.0.2.2	55966	TCP	2256	1521394928.503528
321	172.17.0.2	8080	TCP	54	1521394928.503625
322	172.17.0.2	8080	TCP	54	1521394928.503629
323	172.17.0.2	8080	TCP	54	1521394928.503631
324	172.17.0.2	8080	TCP	54	1521394928.503632
325	172.17.0.2	8080	TCP	54	1521394928.503633
326	172.17.0.2	8080	TCP	54	1521394928.503635
327	172.17.0.2	8080	TCP	54	1521394928.503636
328	172.17.0.2	8080	TCP	54	1521394928.503638
329	172.17.0.2	8080	TCP	54	1521394928.50364
330	10.0.2.2	55966	DATA-TEXT-LINES	459	1521394928.510017
331	172.17.0.2	8080	TCP	54	1521394928.510989
332	172.17.0.2	8080	HTTP	812	1521394933.86599
333	10.0.2.2	55966	TCP	54	1521394933.866035
334	10.0.2.2	55966	TCP	7354	1521394933.908798
335	172.17.0.2	8080	TCP	54	1521394933.90902
336	172.17.0.2	8080	TCP	54	1521394933.909026
337	172.17.0.2	8080	TCP	54	1521394933.909028
338	172.17.0.2	8080	TCP	54	1521394933.90903
339	172.17.0.2	8080	TCP	54	1521394933.909032
340	10.0.2.2	55966	TCP	1754	1521394933.90929
341	172.17.0.2	8080	TCP	54	1521394933.909454
342	172.17.0.2	8080	TCP	54	1521394933.90946
343	10.0.2.2	55966	TCP	468	1521394933.909494
344	172.17.0.2	8080	TCP	54	1521394933.909924
345	172.17.0.2	8080	HTTP	714	1521394933.919997
346	10.0.2.2	55959	TCP	54	1521394933.92006
347	10.0.2.2	55959	TCP	5023	1521394933.921516
348	172.17.0.2	8080	TCP	54	1521394933.921763
349	172.17.0.2	8080	TCP	54	1521394933.92177
350	172.17.0.2	8080	TCP	54	1521394933.921773
351	172.17.0.2	8080	TCP	54	1521394933.921776
352	10.0.2.2	55959	DATA-TEXT-LINES	59	1521394933.921927
353	172.17.0.2	8080	TCP	54	1521394933.922111
354	10.0.2.2	55966	DATA-TEXT-LINES	459	1521394933.923712
355	172.17.0.2	8080	TCP	54	1521394933.925302
356	172.17.0.2	8080	HTTP	841	1521394938.008579
357	10.0.2.2	55966	TCP	54	1521394938.008628
358	10.0.2.2	55966	TCP	7354	1521394938.538495
359	10.0.2.2	55966	TCP	1754	1521394938.538596
360	172.17.0.2	8080	TCP	54	1521394938.538801
361	172.17.0.2	8080	TCP	54	1521394938.538809
362	172.17.0.2	8080	TCP	54	1521394938.538812
363	172.17.0.2	8080	TCP	54	1521394938.538814
364	172.17.0.2	8080	TCP	54	1521394938.538816
365	172.17.0.2	8080	TCP	54	1521394938.538818
366	172.17.0.2	8080	TCP	54	1521394938.538821
367	10.0.2.2	55966	TCP	1228	1521394938.538918
368	172.17.0.2	8080	TCP	54	1521394938.539036
369	10.0.2.2	55966	DATA-TEXT-LINES	459	1521394938.615525
370	172.17.0.2	8080	TCP	54	1521394938.615798
371	172.17.0.2	8080	HTTP	968	1521394942.042459
372	10.0.2.2	55966	TCP	54	1521394942.04252
373	10.0.2.2	55966	TCP	7354	1521394942.140692
374	10.0.2.2	55966	TCP	1754	1521394942.140792
375	172.17.0.2	8080	TCP	54	1521394942.140886
376	172.17.0.2	8080	TCP	54	1521394942.140893
377	172.17.0.2	8080	TCP	54	1521394942.140896
378	172.17.0.2	8080	TCP	54	1521394942.140898
379	172.17.0.2	8080	TCP	54	1521394942.140925
380	172.17.0.2	8080	TCP	54	1521394942.140931
381	172.17.0.2	8080	TCP	54	1521394942.140933
382	10.0.2.2	55966	TCP	3564	1521394942.141012
383	172.17.0.2	8080	TCP	54	1521394942.14112
384	172.17.0.2	8080	TCP	54	1521394942.141124
385	172.17.0.2	8080	TCP	54	1521394942.141127
386	10.0.2.2	55966	DATA-TEXT-LINES	459	1521394942.143351
387	172.17.0.2	8080	TCP	54	1521394942.143507
388	10.0.2.2	55972	TCP	54	1521394946.069212
389	172.17.0.2	8080	TCP	54	1521394946.069412
390	10.0.2.2	55952	TCP	54	1521394946.069471
391	172.17.0.2	8080	TCP	54	1521394946.069622
392	10.0.2.2	55968	TCP	54	1521394946.069673
393	172.17.0.2	8080	TCP	54	1521394946.069825
394	10.0.2.2	55970	TCP	54	1521394946.069869
395	172.17.0.2	8080	TCP	54	1521394946.070018
396	10.0.2.2	55959	TCP	54	1521394956.074746
397	172.17.0.2	8080	TCP	54	1521394956.074935
398	10.0.2.2	55966	TCP	54	1521394966.075233
399	172.17.0.2	8080	TCP	54	1521394966.075465
400	172.17.0.2	8080	TCP	74	1521394990.853667
401	172.17.0.1	44126	TCP	74	1521394990.853686
402	172.17.0.2	8080	TCP	66	1521394990.853692
403	172.17.0.2	8080	TCP	358	1521394990.853758
404	172.17.0.1	44126	TCP	66	1521394990.85377
405	172.17.0.1	44126	TCP	7306	1521394990.940312
406	172.17.0.2	8080	TCP	66	1521394990.940323
407	172.17.0.1	44126	TCP	1826	1521394990.94033
408	172.17.0.2	8080	TCP	66	1521394990.940332
409	172.17.0.2	8080	HTTP	66	1521394990.943891
410	172.17.0.1	44126	TCP	2785	1521394990.949407
411	172.17.0.2	8080	TCP	66	1521394990.949417
412	172.17.0.1	44126	DATA-TEXT-LINES	471	1521394990.951015
413	172.17.0.2	8080	TCP	66	1521394990.951023
414	172.17.0.1	44126	TCP	66	1521394990.951236
415	172.17.0.2	8080	TCP	66	1521394990.951239
416	172.17.0.2	8080	TCP	74	1521394995.819081
417	172.17.0.1	39926	TCP	74	1521394995.819099
418	172.17.0.2	8080	TCP	66	1521394995.819105
419	172.17.0.2	8080	TCP	358	1521394995.81916
420	172.17.0.1	39926	TCP	66	1521394995.819172
421	172.17.0.1	39926	TCP	7306	1521394995.905602
422	172.17.0.2	8080	TCP	66	1521394995.905613
423	172.17.0.1	39926	TCP	1826	1521394995.905621
424	172.17.0.2	8080	TCP	66	1521394995.905623
425	172.17.0.1	39926	TCP	2785	1521394995.905643
426	172.17.0.2	8080	TCP	66	1521394995.905646
427	172.17.0.1	39926	DATA-TEXT-LINES	471	1521394995.907189
428	172.17.0.2	8080	TCP	66	1521394995.907195
429	172.17.0.1	39926	TCP	66	1521394995.907377
430	172.17.0.2	8080	HTTP	66	1521394995.911054
431	172.17.0.1	39926	TCP	66	1521394995.911073
432	172.17.0.2	8080	TCP	74	1521395000.997722
433	172.17.0.1	48404	TCP	74	1521395000.99774
434	172.17.0.2	8080	TCP	66	1521395000.997746
435	172.17.0.2	8080	TCP	358	1521395000.997805
436	172.17.0.1	48404	TCP	66	1521395000.997816
437	172.17.0.1	48404	TCP	7306	1521395001.045628
438	172.17.0.2	8080	TCP	66	1521395001.045643
439	172.17.0.1	48404	TCP	1826	1521395001.045651
440	172.17.0.2	8080	TCP	66	1521395001.045654
441	172.17.0.1	48404	TCP	2785	1521395001.045678
