,dest_ip,dest_port,highest_layer,length,response_type,src_ip,timestamp
275,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.706745
276,162.212.156.148,53,DNS,180,0,10.0.2.15,1521397349.706805
277,10.0.2.15,43917,DNS,286,1,162.212.156.148,1521397349.72073
278,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.720968
279,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.736062
280,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.736304
281,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.750372
282,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.7507
283,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.76505
284,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.76529
285,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.781155
286,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.783115
287,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.796609
288,162.212.156.148,53,DNS,180,0,10.0.2.15,1521397349.79667
289,10.0.2.15,43917,DNS,286,1,162.212.156.148,1521397349.810568
290,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.811458
291,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.827899
292,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.828184
293,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.842451
294,162.212.156.148,53,DNS,221,0,10.0.2.15,1521397349.842717
295,10.0.2.15,43917,DNS,326,1,162.212.156.148,1521397349.858069
296,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.860035
297,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.873912
298,162.212.156.148,53,DNS,180,0,10.0.2.15,1521397349.874007
299,10.0.2.15,43917,DNS,285,1,162.212.156.148,1521397349.902385
300,162.212.156.148,53,DNS,202,0,10.0.2.15,1521397349.902628
301,10.0.2.15,43917,DNS,307,1,162.212.156.148,1521397349.91968
302,162.212.156.148,53,DNS,230,0,10.0.2.15,1521397349.919928
303,10.0.2.15,43917,DNS,335,1,162.212.156.148,1521397349.934776
304,162.212.156.148,53,DNS,324,0,10.0.2.15,1521397349.936901
305,10.0.2.15,43917,DNS,329,1,162.212.156.148,1521397349.953778
306,162.212.156.148,53,DNS,97,0,10.0.2.15,1521397349.953925
307,10.0.2.15,43917,DNS,202,1,162.212.156.148,1521397349.968622
308,162.212.156.148,53,DNS,223,0,10.0.2.15,1521397349.968875
309,10.0.2.15,43917,DNS,328,1,162.212.156.148,1521397349.983845
